pattern,reason,count
?,FRD_FGD_WRONG_DOW,1125
?,PCD_PUMP_STILL_IN_PROGRESS,984
?,PARA_NO_PUMP_INTO_LEVEL,812
?,PARA_NO_REVERSAL_CANDLE,527
?,PARA_NO_DUMP_INTO_LEVEL,323
?,FGD_NO_PRIOR_DOWNTREND,285
?,FRD_NO_PRIOR_UPTREND,235
?,TARGET_TOO_CLOSE,77
?,LHF_WEAK_PRIOR_CLOSE,67
?,FRD_FGD_TREND_TOO_SMALL,66
?,IFB_INSIDE_DAY_NOT_COMPRESSED,64
?,MON_FALSE_BREAK_STILL_PUMPING,59
?,IB_EXTREME_WEAK_REJECTION,49
?,FRD_FGD_DOJI_CANDLE,49
?,STOP_TOO_WIDE_100.0_pips,43
?,NO_REVERSAL_CONFIRMATION,35
?,MON_FALSE_BREAK_STILL_DUMPING,34
?,FGD_NOT_NEAR_LCOM,28
MONDAY_FALSE_BREAK,DIDDLE_FILTERED,24
?,STOP_TOO_WIDE_125.0_pips,23
LOW_HANGING_FRUIT,BELOW_MIN_SCORE,21
IB_EXTREME,BELOW_MIN_SCORE,20
FIRST_RED_DAY,DIDDLE_FILTERED,13
?,FRD_NOT_NEAR_HCOM,13
?,STOP_TOO_WIDE_150.0_pips,11
FIRST_RED_DAY,BELOW_MIN_SCORE,9
?,MON_FALSE_BREAK_NO_FRD,8
MONDAY_FALSE_BREAK,BELOW_MIN_SCORE,8
FIRST_GREEN_DAY,DIDDLE_FILTERED,8
?,IFB_WEAK_REJECTION,7
IB_EXTREME,DIDDLE_FILTERED,6
FIRST_GREEN_DAY,BELOW_MIN_SCORE,6
?,STOP_TOO_WIDE_175.0_pips,6
INSIDE_FALSE_BREAK,BELOW_MIN_SCORE,6
INSIDE_FALSE_BREAK,DIDDLE_FILTERED,6
?,MON_FALSE_BREAK_NO_FGD,4
?,STOP_TOO_WIDE_300.0_pips,3
?,STOP_TOO_WIDE_200.0_pips,3
?,FRD_FGD_LIMP_CANDLE,2
?,STOP_TOO_WIDE_550.0_pips,2
?,STOP_TOO_WIDE_375.0_pips,2
?,STOP_TOO_WIDE_325.0_pips,2
?,STOP_TOO_WIDE_350.0_pips,2
?,STOP_TOO_WIDE_525.0_pips,1
?,STOP_TOO_WIDE_475.0_pips,1
?,STOP_TOO_WIDE_450.0_pips,1
?,STOP_TOO_WIDE_400.0_pips,1
?,STOP_TOO_WIDE_225.0_pips,1
?,STOP_TOO_WIDE_625.0_pips,1
PARABOLIC_REVERSAL,BELOW_MIN_SCORE,1
PARABOLIC_REVERSAL,DIDDLE_FILTERED,1
